"YEAR","DECJAN","JANFEB","FEBMAR","MARAPR","APRMAY","MAYJUN","JUNJUL","JULAUG","AUGSEP","SEPOCT","OCTNOV","NOVDEC"
1970,0.675,0.575,0.439,0.309,0.09,-0.501,-1.153,-1.347,-1.228,-1.1,-1.06,-1.128
1971,-1.281,-1.563,-1.873,-1.979,-1.764,-1.534,-1.304,-1.041,-1.296,-1.398,-1.102,-0.986
1972,-0.651,-0.258,-0.146,0.08,0.751,1.546,2.087,2.209,2.068,1.88,1.844,2.008
1973,2.023,1.756,1.303,0.743,0.154,-0.52,-1.077,-1.363,-1.664,-1.742,-1.591,-1.768
1974,-2.024,-2.188,-2.088,-1.802,-1.241,-0.821,-0.976,-0.858,-0.543,-0.815,-1.094,-1.033
1975,-0.703,-0.479,-0.625,-0.953,-1.083,-1.168,-1.408,-1.744,-2.055,-2.27,-2.19,-1.909
1976,-1.764,-1.626,-1.459,-1.289,-0.777,-0.007,0.674,0.771,0.948,1.272,0.982,0.731
1977,0.71,0.651,0.548,0.558,0.511,0.421,0.641,0.749,0.715,0.831,1.01,1.112
1978,0.939,0.846,0.895,0.57,0.023,-0.235,-0.137,0.19,-0.056,-0.142,0.39,0.626
1979,0.577,0.402,0.132,0.164,0.623,0.637,0.346,0.584,0.876,0.818,0.831,1.012
1980,1.014,0.813,0.832,1.167,1.249,0.919,0.783,0.689,0.411,0.336,0.226,0.189
1981,-0.087,-0.337,-0.128,0.362,0.29,0.013,-0.096,-0.076,0.082,0.201,0.177,0.064
1982,0.077,0.019,0.107,0.44,0.949,1.48,1.768,1.841,1.871,2.254,2.593,2.777
1983,3.08,3.31,3.349,3.084,2.665,2.337,1.922,1.155,0.462,0.105,-0.099,0.054
1984,0.054,-0.166,-0.192,0.096,-0.052,-0.402,-0.416,-0.365,-0.214,-0.102,-0.359,-0.66
1985,-0.744,-0.777,-0.863,-0.772,-0.791,-0.533,-0.102,-0.365,-0.601,-0.257,0.015,-0.151
1986,-0.278,-0.228,-0.087,-0.004,0.141,0.319,0.377,0.736,1.147,1.198,1.237,1.342
1987,1.38,1.529,1.883,2.171,2.162,2.069,2.2,2.343,2.054,1.824,1.575,1.49
1988,1.387,1.02,0.703,0.429,-0.047,-0.735,-1.416,-1.704,-1.783,-1.76,-1.778,-1.67
1989,-1.468,-1.33,-1.198,-1.143,-1.124,-1.027,-0.951,-0.637,-0.35,-0.389,-0.33,0.001
1990,0.225,0.462,0.742,0.723,0.531,0.422,0.352,0.147,0.257,0.454,0.382,0.298
1991,0.407,0.413,0.493,0.763,1.014,1.184,1.102,0.553,0.296,0.8,1.257,1.45
1992,1.857,2.039,2.052,2.289,2.404,2.293,1.742,0.723,0.464,0.751,0.765,0.808
1993,0.925,1.049,1.177,1.44,1.86,1.835,1.228,0.724,0.795,1.186,1.158,0.784
1994,0.644,0.422,0.278,0.646,1.011,0.992,0.885,0.731,0.796,1.355,1.447,1.319
1995,1.337,1.196,0.935,0.83,0.94,0.813,0.483,0.258,-0.081,-0.274,-0.407,-0.432
1996,-0.437,-0.421,-0.348,-0.361,-0.435,-0.272,-0.214,-0.218,-0.22,-0.327,-0.213,-0.203
1997,-0.453,-0.577,-0.323,0.529,1.61,2.602,3.12,3.181,3.168,3.214,3.201,3.022
1998,2.822,2.823,2.944,2.821,2.336,1.355,0.18,-0.731,-0.863,-0.759,-0.857,-0.973
1999,-1.108,-1.231,-1.121,-1.098,-1.187,-0.975,-0.826,-0.801,-0.727,-0.847,-1.045,-1.182
2000,-1.255,-1.295,-1.319,-1.168,-0.96,-0.711,-0.479,-0.298,-0.113,-0.109,-0.397,-0.642
2001,-0.706,-0.796,-0.71,-0.398,-0.322,-0.349,-0.225,-0.041,-0.098,-0.256,-0.29,-0.199
2002,-0.064,-0.091,0.045,0.359,0.669,0.912,0.667,0.636,0.903,1.09,1.207,1.223
2003,1.252,1.084,0.953,0.816,0.262,-0.094,0.004,0.083,0.36,0.533,0.594,0.646
2004,0.526,0.331,0.118,0.125,0.299,0.214,0.271,0.582,0.803,0.68,0.69,0.74
2005,0.432,0.28,0.631,0.773,0.588,0.737,0.8,0.492,0.08,-0.661,-0.998,-0.954
