carrier,date, premium 
SAFECO,12/1/2014,1301
SAFECO,12/1/2014,613.5
SAFECO,12/1/2014,512.5
SAFECO,12/1/2014,718.23
SAFECO,12/1/2014,986.7
SAFECO,12/1/2014,1455
SAFECO,12/1/2014,1457
SAFECO,12/1/2014,1068.2
SAFECO,12/1/2014,823
SAFECO,12/1/2014,1762
SAFECO,12/1/2014,1476.9
SAFECO,12/1/2014,511.6
SAFECO,12/1/2014,1931
HARTFORD,12/2/2014,1806
HARTFORD,12/2/2014,784
HARTFORD,12/2/2014,1088
HARTFORD,12/2/2014,640
HARTFORD,12/2/2014,1014
HARTFORD,12/2/2014,543
HARTFORD,12/2/2014,541
HARTFORD,12/2/2014,301
HARTFORD,12/2/2014,352
HARTFORD,12/2/2014,521
HARTFORD,12/2/2014,902
HARTFORD,12/2/2014,928.97
HARTFORD,12/2/2014,595
HARTFORD,12/2/2014,394
HARTFORD,12/2/2014,707
HARTFORD,12/2/2014,779
HARTFORD,12/2/2014,880
HARTFORD,12/2/2014,773
HARTFORD,12/2/2014,402
HARTFORD,12/2/2014,1514
MERCURY,12/2/2014,1988.52
21ST,12/2/2014,249.63
21ST,12/2/2014,294.58
21ST,12/2/2014,278
21ST,12/2/2014,332.55
21ST,12/2/2014,804.04
21ST,12/2/2014,626
21ST,12/2/2014,480
21ST,12/2/2014,806.85
21ST,12/2/2014,1502
21ST,12/2/2014,749.24
21ST,12/2/2014,705
21ST,12/2/2014,274.51
21ST,12/2/2014,325
21ST,12/2/2014,817
21ST,12/2/2014,747.49
21ST,12/2/2014,1019.12
21ST,12/2/2014,573
21ST,12/2/2014,633
21ST,12/2/2014,836
21ST,12/2/2014,147.58
21ST,12/2/2014,446.47
21ST,12/2/2014,399.83
21ST,12/2/2014,570.2
21ST,12/2/2014,876.16
21ST,12/2/2014,683.65
21ST,12/2/2014,951.87
21ST,12/2/2014,788.58
21ST,12/2/2014,551.75
21ST,12/2/2014,985
21ST,12/2/2014,375
21ST,12/2/2014,621.65
21ST,12/2/2014,690
21ST,12/2/2014,1149.37
MERCURY,12/2/2014,459
MERCURY,12/2/2014,1227
DAIRYLAND,12/2/2014,744
DAIRYLAND,12/2/2014,432
DAIRYLAND,12/2/2014,470
DAIRYLAND,12/2/2014,210.15
MERCURY,12/2/2014,902
MERCURY,12/2/2014,1780
MERCURY,12/2/2014,1395
MERCURY,12/2/2014,2491
MERCURY,12/2/2014,2160
MERCURY,12/2/2014,1760
MERCURY,12/2/2014,2358
MERCURY,12/2/2014,1464
