Date,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NA,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV
10/6/2014,,250.4533333,254.52,259.62,169.23,260.7166667,241.7366667,314.9733333,221.9528571,,,,176.0025,47.33,,,,,,,300.635,303.64,282.1072727,,305.61,,,349.6327273,181.7033333,,273.7742105,232.2315385,250.4433333,320.2375,238.5823077,,228.9516667,318.3618182,334.3082,224.21,246.5466667,,195.565,369.3066667,270.49
10/7/2014,,131.45875,313.525,228.14,,251.4184615,406.3533333,308.85,223.0675,,,,252.1833333,439.755,,,,,,,,271.482,217.1916667,,271.18,,,301.2108333,582.08,,201.11,155.5383333,271.515,,341.2718182,,339.6557143,376.77,286.5281538,296.17,247.9507692,,253.6123077,211.41,161.47
10/8/2014,,291.49,391.63,280.1033333,235.805,211.5066667,239.63,249.895,296.3155556,,,,210.7966667,342.6166667,212.38,,,,,,347.0825,195.6833333,336.4428571,,,,,243.5457143,234.49,,175.0364286,210.536,247.619,230.416,169.1585714,,230.4085714,148.3285714,264.5296875,289.5825,248.487,,221.0185714,106.7325,212.81
10/9/2014,,167.1025,348.278,308.0425,215.92,406.4366667,471.37,287.565,281.9309091,,,55.4,172.87,267,,,18.55,,,,505.28,131.6257143,284.2,,,,,344.76,315.028,,157.892,242.1178571,187.8145455,297.178,204.835,,290.9977778,138.7914286,286.1646,200.32,229.7784615,,422.7366667,144.105,44.75
10/10/2014,,143.6325,398.6675,348.446,228.36,307.1033333,197.3766667,243.87,218.4943478,,,37.78,571.25,86.46,,,,,,,252.2877778,327.895,482.1333333,,149.59,,,398.0596667,233.43,,312.0754545,217.5273913,269.28875,210.3390909,198.7045,,303.4085714,245.2118182,235.7210938,126.51,275.6519048,,168.42625,249.9433333,260.74
10/11/2014,,,207.6,,,,282.02,,108.09,,,,289.36,,,,,,,,446.2,163.24,,,,,,273.195,,,239.02,204.8733333,,183.61,186.1333333,,162.7066667,316.342,265.3075,,,,,,
10/13/2014,,243.7,294.2375,238.35,,399.16125,305.7666667,141.22,183.0735714,,,,177.21,176.42,,,,,,,121.3266667,155.165,341.96,212.74125,235,,,337.3164286,,,417.534,253.1518182,163.21,246.564,166.905,,257.56,311.3925,236.4277778,338.0425,426.69,,240.7616667,40.42,353.81
10/14/2014,,309.3075,193.295,300.904,303.94,355.2866667,219.8025,306.8875,221.27875,,,,151.08,280.65,,,,,,,278.0416667,251.36875,,260.6481818,,,,363.4145455,277.23,,298.8142857,245.48375,334.1175,220,224.254,,250.50875,206.725,269.6016667,228.8866667,374.771,,219.9744444,356.8133333,
10/15/2014,,388.0675,191.9,242.5,239.992,294.8316667,223.851,290.5114286,219.35875,,,225,151.3,355.56,,,,263.55,,,152.45,224.11,,208.0342857,78.54,,,372.8585714,300.5133333,391.85,324.89,178.1208333,228.5561538,165.4033333,267.673,,315.6309091,254.762,250.4988462,113.765,250.792,134.31,305.0214286,73.73666667,361.43
10/16/2014,,426.452,409.748,258.2,208.27,359.7677778,219.3672727,317.93,239.2878261,,,,89.7,166.8,,,,,,,198.19,229.0433333,217.05,215.61,170.84,,,293.5158333,303.1866667,,154.975,228.13,252.7342857,,248.23125,,204.3342857,256.035,258.7813333,220,249.992,,251.5166667,119.545,441.51
10/17/2014,165.79,172.6533333,320.66,124.266,160.16,272.706,309.3015385,301.3,256.1865217,,,325,90.22,423.676,,,,,,,270.355,290.875,306.65875,263.6903125,,,,372.698,220,,207.5333333,192.2071429,252.3607692,129.49,245.6615385,,292.968,260.8414286,256.53,184.0575,240.603,,274.2275,187.32,471.6725
10/18/2014,,284.0766667,378.3133333,319.44,,256.71,401.17,,132.66,,,,266.57,,80.82,,,,,,,64.095,,126.8,,,,436.1685714,,,183.02,270.2933333,,,255.08625,,167.4,197.795,218.36,298.275,274.66,,220,,
